id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
205;joli88.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
206;google.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
207;dexatel.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
208;lcuk.win;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
209;txte1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD,DATA_INTERESTING_DESC_NO_SCAM
210;is.gd;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
211;lng.direct-inicio-apps.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
212;wa.me;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
213;www.zopa.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
214;foliatticasino.mx;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
215;ridleyacad.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
216;www.authy.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
217;www.vodafone.co.uk;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
218;cred.ee;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
913;amazon.com.mx;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
921;bem1.co;f;f;f;DATA_INTERESTING_DESC_NO_AD
929;fwdto.us;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
937;youtu.be;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
945;www.brzepozajmice.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM,DATA_INTERESTING_DESC_NO_AD
953;go.fcifisms.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
961;amovens.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
969;bitly.ws;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
977;creditnow.ro;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
985;did.li;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
993;www.bleepingcomputer.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1001;gfquo.buzz;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
1009;home.zopa.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
